zouave zuavog
well-mannered bonmanierag
well nug
welfare bonstatog
weld kunforĝig
welcome bonvenag
welcome bonvenog
weigh-bridge pesilegog
weighty pezag
weight pezilog
weight pezog
weigh pezig
weft teksaĵog
weep plorig
week semajnog
weed sarkig
weed malbonherbog
wednesday merkredog
wedlock edzecog
wedge kojnog
weaver teksisto
weave teksi
weathercock ventoflagog
weather veterog
weary laca
wearisome enua
weariness enuo
weapon batalilog
wealthy riĉegag
wealth riĉecog
weal feliĉecog
weakness malfortecog
weaken malfortigig
weak malfortag
we nig
wayward memvolag
wayfarer vojirantog
waver ŝanceliĝi
wavelet ondetog
wave agiti
wave ondog
waterproof nepenetreblag
watering-pot verŝilog
water-tank akvujog
water-spout trombog
waterfall akvofalog
water-colour akvopentraĵog
water-closet necesejog
watery akvag
water akvog
watchword signaldirog
watchman observistog
watchful atentema
watch observi
wasteful malŝparemag
waspish malĝentila
wasp vespog
washstand lavtablog
wash-house lavejog
washerwoman lavistinog
wash lavig
wary atenta
wart verukog
warrior militistog
warren kuniklejog
warrantable pravigeblag
warning avertog
warn avertig
warmth varmecog
warm varmag
warm varmigig
warlike militamag
warfare bataladog
warehouse provizejo
wardrobe vestotenejog
warder gardantog
warbler pepulo
warble pepig
war milito—adog
wanton malicag
want seneco
wanness palecog
wane ekfiniĝig
wandering nomada
wanderer nomadulo
wander erari
wand vergo
wan pala
waltz valsog
walrus rosmarog
walnut juglandog
wallow ruliĝi
wallet sako
wall murog
walk marŝi
wake vekig
waiter kelnerog
wait atendig
waistcoat veŝtog
waist taliog
wain ŝarĝveturilog
wail ploregi
waggoner veturigisto
waggish ŝercag
wages salajrog
wager vetog
wag ŝerculog
waft flugportig
wafer oblatog
wade akvotrairig
waddle balanciĝi
wadding vato
wobble ŝanceli—iĝig
vulture vulturog
vulnerable vundeblag
vulgate latina
vulgarity vulgarecog
vulgarise vulgarigig
vulgar vulgarag
voyage vojaĝo
vowel vokalag
vow dediĉi
voucher garantio
vouch garantii
vote voĉdoni
vortex turnakvo
voracity englutecog
voracious englutemag
vomitory vomilog
vomiting vomadog
vomit vomig
voluptuousness voluptecog
voluptuous voluptemag
volunteer memvolulog
voluntary memvola
voluminous multdikag
voluble babilema
volcanic vulkanag
volcano vulkanog
vol-au-vent pasteĉog
volatilise vaporigig
voice voĉog
vocation profesio
vocalist kantistog
vocal voĉag
vocabulary vortaretog
vizier vezirog
vixen vulpinog
vivifying vivigag
vivacity vivecog
vitriol vitriolog
vitrify vitrigig
vitreous vitrecag
vitiate difektig
vitality vivemog
vital necesegag
vital vivemag
visual vidag
visor vizierog
visitor vizitantog
visiting-card vizitkartog
visit vizitig
visibly videbleg
visible videblag
viscuous gluantag
viscera internaĵog
vis-a-vis kontraŭulog
visage vizaĝog
virus venenog
virulent venena
virtuoso virtuozog
virtuous virtag
virtue virtog
virility virecog
virile virag
virgin blessed
virginity virgecog
virginal virgag
virgin virgulinog
viper viperog
violoncellist violonĉelistog
violoncello violonĉelog
violinist violonistog
violin violonog
violet violog
violent perfortag
violence perfortog
violation malrespektog
violate malrespektig
vintner vinvendistog
vintage vinrikoltog
vineyard vinberejog
vine-stock vinbertrunkog
vine-branch vinberbranĉog
vinery vinberejog
vinegar vinagrog
vine-culture vinberkulturog
vine vinberujo—arbog
vindictive venĝemag
vindication pravigecog
vindicate pravigig
villainous malbonegag
villain kanajlog
villager vilaĝanog
village vilaĝog
villa domo
vileness hontindaĵog
vile malnoblag
vigour fortegecog
vigorous fortegag
vignette vinjetog
vigilant viglag
view vidig
vie konkurig
victuals manĝaĵo
victory venkog
victorious venkintag
victor venkantog
victimise suferigig
victim suferantog
vicissitude sortovicog
vicious malvirtag
vicinity proksimeco
viceroy vicreĝog
vice malvirtog
vicarage paroĥestrejog
vicar paroĥestrog
viburnum viburnog
vibrate vibrig
vibrant multesonag
viands viando
vial boteletog
viaduct vojpontog
vexation ĉagrenog
vex ĉagrenig
veto vetoo
veteran malnovulog
vestry preĝejoĉambrog
vestment vestaĵog
vestige postsignog
vestibule vestiblog
vest veŝto
vessel vazo
vespers vespera
vesicle veziketog
very treg
vertigo kapturnog
vertical vertikalag
vertex supro
vertebral vertebrag
vertebra vertebrog
verst verstog
version tradukog
versifier versistog
verse versog
vermouth vermutog
vermin insektojg
vermilion cinabrog
vermifuge kontraŭvermaĵog
vermicelli vermiĉelog
verity verecog
veritable verag
verily vereg
verify verigi
verger pedelog
verdure verdaĵog
verdigris verdigrog
verdict juĝog
verdant verdantag
verbosity parolegecog
verbose parolegemag
verbiage babilaĵog
verbena verbenog
verbal parolag
verb verbog
verandah balkonog
veracity verecog
veracious veremag
venturous riskag
venture riskog
venture riskig
ventriloquist ventroparolistog
ventilator ventolilog
ventilate ventolig
vent-hole ellastruog
vent ellasog
venomous venenag
venom venenog
venison ĉasaĵog
venial pardoneblag
vengeance venĝog
veneration respektegog
venerate respektegig
venerable respektindag
vend vendig
venal aĉeteblag
velvet velurog
velocity rapidecog
velocipede velocipedog
vellum velenog
veined vejnag
vein vejnog
veil vuali
vehicle veturilog
vehement perfortag
vehemence perfortecog
vegetation kreskaĵadog
vegetate vegetig
vegetable-garden legoma
vegetable legomog
veer turni
veal bovidviando
vaunt fanfaronig
vault arkaĵog
vat kuvegog
vast vastag
vassalage vasalecog
vassal vasalog
vaseline vazelinog
vase vazog
vary diversig
varnish lako—aĵog
varnish lakig
various diversag
variola variolog
variety diversecog
variegated multkolorag
variegate multkolorigig
variation diverseco
variable ŝanĝeblag
vapourous vaporag
vapour vaporog
vaporise vaporigig
vaporisation vaporigog
vapid sengustag
vanquisher venkantog
vanquish venkig
vanity vanecog
vanish neniiĝig
vanilla vanilog
vanguard antaŭgvardiog
vane ventoflagog
van veturilegog
valve klapog
valueless senvalorag
valuation takso
valuable multekostag
value valorog
valse valsog
valour bravecog
valorous bravag
valley valog
valise valizog
valid leĝag
valiant bravag
valet lakeo
vale valetog
vainly vaneg
vague malprecizag
vagrant vagistog
vagary kapricog
vagabond sentaŭgulo
vacuum malplenaĵog
vacuous malplenag
vacillating ŝanceliĝag
vacillate ŝanceliĝig
vaccinate inokulig
vacation libertempog
vacate forlasig
vacant neokupatag
vacancy malplenaĵog
utterly tuteg
utterance ekparolog
utter ekparolig
utopian utopiag
utopia utopiog
utmost ekstremag
utility utilo—ecog
utilise utiligig
utensil uzaĵo
usury procentegog
usurper uzurpulog
usurpation uzurpo—adog
usurp uzurpig
usurer procentegistog
usufruct ĝuadog
usually kutimeg
usual ordinara
uselessness senutilecog
useless senutilag
useful utilag
use uzig
usage uzo—adog
us ning
urn urnog
urinal urinejog
urine urinog
urgent urĝag
urge urĝig
urchin bubog
urbane ĝentilag
urban urbag
upstart elsaltulog
upstairs supreg
upshot rezultatog
upset renversi
uproot elradikigig
uproar bruego
uprightness rekteco
uprightly rekte
uplift altlevig
upholsterer meblisto
uphold subtenig
upbraid mallaŭdi
unyoke maljungig
unworthy malindag
unwonted nekutimag
unwittingly senintencag
unwise malsaĝag
unwillingly kontraŭvole
unwieldy multepeza
unwholesome malsana
unwell malsanag
unwavering neŝanceliĝag
unwary malsingardemag
unveil malkovrig
unusual neordinara
unused neuzitag
untrue malverag
untrammeled liberag
untoward kontraŭag
untiring senlaciĝag
untimely antaŭtempa
until ĝisg
untie malligig
untamed sovaĝag
unstable ŝanĝemag
unsociableness nesocietamo—emog
unskilful mallertag
unsightly malbelegag
unshaken firma
unseemly malkonvenag
unsearchable neserĉeblag
unseal sensigeligig
unsalable nevendeblag
unsafe danĝerhavag
unsaddle senseligig
unruly malĝentilag
unruffled trankvila
unroof maltegmentig
unroll malruli
unrestrained nedetena
unreserved nerezervag
unremitting senĉesag
unrecognisable nerekoneblag
unravel maltordig
unquiet malkvietag
unpublished neeldonitag
unproductive senfruktag
unprincipled malhonesta
unpretending neafektema
unpleasant malplaĉag
unpardonable nepardoneblag
unpack elpakig
unoccupied neokupata
unnerve malkuraĝigig
unnatural kontraŭnaturag
unmask senmaskigig
unman malkuraĝigig
unload senŝarĝig
unlimited senlimag
unlikely neverŝajnag
unlawful malpermesita
unknown nekonata—itag
unjust maljustag
university universitatog
universe universog
universal universalag
unite unuigi
unit unuog
unique sola
union unuigo
uninhabited senhomag
unify unuigig
uniformity simileco
uniform unuformag
unification unuigog
unicorn unukornulog
unhurt sendifektag
unhook malkroĉig
unheeded nezorgitag
unhealthy malsanag
unhappiness malfeliĉecog
unhappy malfeliĉag
unhandy mallertag
unguent ŝmiraĵog
ungrateful nedanka
ungodly malpiag
ungainly mallertag
unfurnish senmebligig
unfurl malfaldi
unfruitful senfruktag
unfrequently malofteg
unfortunate malfeliĉag
unforeseen neantaŭviditag
unfilial nefilag
unfeigned sincerag
unfeeling sensentag
unfavourable malfavorag
unfasten malligig
unfaithful malfidelag
unexpressed neesprimitag
unexpectedly neatenditeg
unexpected neatenditag
uneven neebena
unerring neerara
unequal neegalag
unendurable nesufereblag
unemployed senokupag
uneasy maltrankvilag
uneasiness maltrankvilecog
unearthly supernaturag
undulation ondoliniog
undulating ondoliniag
undulate ondoliniig
undo malfarig
undisciplined malobeemag
undignified malindag
undesigned senvola
underwrite garantiig
undertaking entreprenog
undertake entreprenig
understanding intelektog
understand komprenig
underscore substrekig
underrate malestimig
undermaster submajstrog
underline substrekig
underlie subtavoli
underhand sekreta
underground subterag
undergo suferig
undaunted neintimigitag
uncultivated senkulturag
uncious grasag
unction ŝmiraĵog
uncover malkovrig
uncouth malĝentilag
uncork malŝtopig
unconscious nekonsciag
unconnected nekunigitag
unconditional nekondiĉa
unconcerned nezorgemag
uncommunicative nekomunikema
uncommon nekomunag
uncleanness malpurecog
unclean malpurag
uncle onklog
uncivilized necivilizitag
uncivil malĝentilag
unchangeable neŝanĝeblag
unchain elĉenigig
uncertain necertag
unceremonious senceremoniag
unbutton debutonumig
unbroken senintermankag
unbridle senbridigig
unbounded senlimag
unbiased senpartiag
unbeliever malkredulog
unbelief malkredecog
unbecoming malkonvenag
unbearable netolereblag
unbar malbari
unawares senatenteg
unavailing malutilag
unassuming neafektema
unanimously unuvoĉe
unanimous unuvoĉa
unanimity unuanimecog
unalterable neŝanĝeblag
unalloyed nemiksitag
unaffected neafekta
unadulterated nefalsita
unadvisedly malprudenteg
unadorned senornamag
unaccountable neklarigeblag
umpire juĝanto—istog
umbrella ombrelog
umbrage ombraĵog
umbra ombrog
ultramarine ultramarinog
ultimatum ultimatumog
ultimately laste
ultimate lasta
ulterior posta
ulcer ulcerog
ukase ukazog
ugly malbelag
ugliness malbelecog
udder mamog
ubiquity ĉieestog
tyro novicog
tyrant tiranog
tyranny tiranecog
tyrannical tirana—emag
typography tipografiog
typographist preslaboristog
typical modelag
typhus tifog
type tipo
tympanum oreltamburog
two dug
twitter pepig
twist tordig
twinkle briletig
twine ŝnuretog
twin dunaskitog
twig branĉetog
twelve dekdug
tweezers preniletog
twain dug
tutor guvernistog
tusk dentegog
turtle-dove turtog
turret turetog
turquoise turkisog
turpitude hontindaĵog
turpentine terebintog
turnstile turnkrucog
turnspit turnrostilog
turnscrew ŝraŭbturnilog
turnip napog
turner tornistog
turn vicog
turn turnig
turmoil bruego
turkey turkujog
turk turkog
turf torfog
tureen supujog
turbulent tumultag
turbot rombfiŝog
turbid ŝlimag
turban turbanog
tunnel subtervojog
tuning-fork tonforketog
tunic ĵakog
tuneful belsonag
tune agordig
tun barelegog
tumultuous tumultag
tumult tumultog
tumour ŝvelabscesog
tumbrel ŝarĝoveturilog
tumbler glasog
tumble elrenversig
tulle tulog
tulip tulipog
tug posttrenig
tuft tufog
tuesday mardog
tubular tubformag
tuberosity tuberog
tuber tuberog
tube tubog
tub kuvo—etog
tsar carog
truthful veremag
truth vero—ecog
trusty fidindag
trustworthy fidindag
trustful konfidemag
trust konfidig
trumpeter trumpetistog
trumpet trumpetog
trumpet trumpetadig
truly vereg
truffle trufog
true verag
truculent kruelegag
truck manveturilog
truce interpacog
truant kuŝemulo
trowel trulog
trout trutog
trousseau vestarog
trousers pantalonog
trough trogog
troublesome malfacilag
trouble konfuzi
trot troto—adog
trot trotig
tropical tropikag
tropics tropikog
trophy venksignog
trooper rajdistaranog
trombone tromboneg
triviality trivialaĵog
trivial trivialag
triumphal triumfag
triumph triumfig
triturate pistig
trite komuna
trisyllable trisilabog
tripod tripiedog
triple trioblag
tripe tripog
trip vojaĝo—etog
trip faletig
trio triog
trinket juvelo—etog
trigonometry trigonometriog
trigger tirilog
trifling trivialag
trifle bagatelo
triennial trijarag
trident tridentog
tricycle triciklog
tri-coloured trikolorag
trickle gutetig
trick malbonfaraĵog
trick friponig
tribute depagog
tributary depagantag
tribulation doloro
tribe gentog
triangle triangulog
tress plektaĵog
trespass transpaŝo
trepidation tremeco
trencher lignotelerog
trenchant akrag
trench fosaĵog
tremulous trema
tremor tremeto
tremendous grandegag
trembling tremo—adog
tremble tremig
trellis palisplektaĵog
trefoil trifoliog
tree arbog
treaty kontrakto
treatise traktatog
treasurer kasistog
treasure trezorog
treason perfidog
treadle pedalog
tread premi
treacle mielsiropog
treachery perfidecog
treacherous perfida—emag
tray pletog
travesty maskaĵog
traverse trapasi
traveller vojaĝantog
travel vojiri
travail nasklaboro
trapezium trapezog
trapdoor plankpordog
trap kaptig
transverse laŭlarĝa
transpose translokig
transportation transportadog
transport transportig
transplant translokig
transpire konigi
transparency diafanecog
transparent travidebla
transmute aliformigig
transmitter transigantog
transmit transigig
transmission transigog
transmarine transmarag
translator tradukistog
translation tradukog
translate tradukig
transitory rapidag
transition transirog
transit pasadog
transgressor ofendanto
transgression ofendo
transgress peki
transfuse transverŝig
transformation aliformigog
transform aliformigi—iĝog
transfix trabori
transfigure aliformigig
transfer transloki
transcribe transskribig
transaction interkonsentog
tranquility trankvilecog
tranquilise trankviligig
tranquil trankvilag
trance katalepsio
tramp vagistog
trammel malhelpi
tramway tramvojog
tramcar tramveturilog
traitorous perfidag
traitor perfidulog
trait trajtog
train instrui
tragedy tragediog
tragedian tragediistog
traduce mallaŭdegig
tradition tradiciog
tradesman butikisto
trade negoci
traction tiro—adog
trace postsignog
toy ludilog
township urbetog
town urbog
towing-vessel trenŝipog
tower turog
towel viŝilog
toward alg
tow stupog
tow posttrenig
tourist turistog
tourism turismog
tour vojaĝog
tough malmolag
touchy ofendsentemag
touching tuŝantag
touchiness ofendsentecog
touch palpog
touch tuŝig
totter ŝancelig
totality tutecog
total tuto
toss skuig
tory konservativulog
torture turmentegig
torture turmentegog
tortuous tordag
tortoise testudog
torso torsog
torsion tordog
torrid varmegag
torrent torentog
torpor sensentog
torpidity sensentecog
torpid sensentag
torpedo torpedog
torment turmento—adog
torment turmentig
toreador toreadorog
torch torĉog
toque ĉapog
topsy-turvy renversita—iteg
topple falig
topography topografiog
topmost plejsuprag
topic subjektog
topaz topazog
toothless sendentag
tooth dentog
tool ilog
tonsure tonsurog
tonnage enhaveblecog
tonic fortigilog
tongue langog
tongs prenilog
to-morrow morgaŭg
tome volumog
tomb tombog
tomato tomatog
toll takso
tolerate tolerig
tolerant tolera—emag
tolerably tolerebleg
tolerable tolereblag
token signog
toilsome laborag
toilet tualetog
toil laboro
together kuneg
toe piedfingrog
to-day hodiaŭg
tocsin tumultsonorilog
toboggan glitveturilog
tobacco tabakog
toad bufog
to alg
titter rideti
titmouse paruog
title titolog
tithing dekonecog
tissue teksaĵog
tiresome teda
tired lacag
tire lacigig
tirade denuncado
tipsy ebriag
tippler drinkemulog
tipple drinkig
tippet manteletog
tip pintog
tiny malgrandetag
tint koloretigig
tinkle tintig
tingle vibreti
tinge koloretigig
tinfoil hidrargaĵog
tinder fajrfungog
tin stanog
tin stanig
timorous timemag
timidity timecog
timid timemag
timepiece horloĝog
timely ĝustatempag
time tempog
timber ligno
tilt klini—igi
tillage kulturaĵo
tight prema
tiger tigrog
tie ligig
tidy malnegliĝag
tidiness malnegliĝecog
tidings sciigog
tidal marmovag
ticklish tiklosentemag
tickle tiklig
ticket biletog
tick bateti
tibia tibiog
thyme timianog
thy cia
thwart malhelpig
thus tiel
thunderstruck fulmofrapag
thunderstorm fulmotondrog
thunder tondrig
thump frapegi
thrust puŝegi
thrush turdog
throw ĵetig
through trag
throttle sufokig
throne tronog
throe agoniog
throbbing bato—ado
throb bati
throat gorĝog
thrive prosperig
thrill vibri
thrifty ŝparemag
thrift ŝparecog
threshold sojlog
three trig
threatening minacag
threat minacog
threadbare eluza
thread fadenog
thrash draŝi
thraldom servutog
thoughtless senpripensag
thoughtful pripensag
thought penso
though kvankamg
thou ci
thoroughfare trairejog
thorough plenegag
thorn dornog
thorax brustkestog
thong ledrimenog
thistle kardog
this tio
thirst soifog
thinker pensulog
think pensig
thine cia
thimble fingringog
thigh femurog
thievish ŝtelemag
thieve ŝtelig
thief ŝtelistog
thickskinned dikhaŭtag
thickset dikkorpag
thickness dikecog
thicket arbetaĵo
thick dikag
they ilig
thesis tezog
thermometer termometrog
therefore tialg
therapeutics kuracartog
theoretic teoriag
theory teoriog
theorem teoremog
theology teologiog
theologian teologistog
then tiamg
theme temog
them iling
theft ŝtelog
theatrical teatrag
theatre teatrog
the lag
thaw degeladog
thaw degelig
that tiog
thanks dankong
thankless sendankag
thankfulness dankecog
thankfully dankeg
thank dankig
than olg
thaler talerog
texture teksaĵog
textual laŭtekstag
textile teksag
text tekstog
tether ligilog
tetanus tetanog
testy koleremag
testimonial atesto
testify atestig
testator testamentantog
testament testamentog
test provig
terrorise terurigig
terror terurog
territory teritoriog
terrify timegigig
terrestrial terag
terrace terasog
termite termitog
terminology terminarog
terminate finig
termagant kriegulinog
tepid varmetag
tentative provag
tent tendog
tension streĉog
tenor tenorog
tenet dogmo
tenement loĝejo
tendon tendenog
tenderness amecog
tendency emo
tench tinkog
tenant luantog
tenacity persistecog
ten dekg
tempter tentantog
temptation tento—adog
tempt tentig
temporize prokrastig
temporary kelkatempa
temporal mondag
tempest ventego
temperature temperaturog
temperate moderag
temperate sobrag
temperance sobrecog
temerity bravegecog
tell dirig
telescope teleskopog
telephonic telefonag
telephone telefonig
telegraphy telegrafog
telegraphist telegrafistog
telegraphic telegrafag
telegraph telegrafig
telegram telegramog
teeth dentojg
teem sufiĉegig
tediousness tedecog
tedious tedag
technical teknikag
teat mampintog
tease inciteti
tear larmog
tear ŝirig
teaching instruo—adog
teacher instruistog
teach instruig
teapot tekruĉog
tea teog
tax takso
tax taksig
tawny dubeflavag
tawdry falsluksag
taw felpreparadig
tavern drinkejog
tautology ripetado
taut streĉag
taunt sarkasmog
tattoo tatuig
tattle babilaĵo
tatter ĉifonaĵog
taste gustog
taste gustumig
tassel drappendaĵog
taskwork tasklaborog
task taskog
tart acidag
tarry malfruig
tarnish malheligig
tarnish malheligog
tariff tarifog
target celtabulog
tardy malfrua
tar gudrog
tar gudrig
tapestry tapetog
taper maldikigig
taper kandeletog
tape kotonrubandog
tap kranog
tap bateti
tannin taninog
tanner tanistog
tankard pokalo
tank akvujog
tangible palpeblag
tangent tangentog
tan tanilog
tan tanig
tamely kvieteg
tame malsovaĝag
talon ungegog
talmud talmudog
tally egali
tallow sebog
tall grandag
talk parolig
talisman talismanog
talented lerta
talent talentog
tale rakonto
take prenig
taint difektig
tailor tajlorog
tail vostog
taffeta taftog
tadpole ranidog
tactics taktikog
tact delikatecog
tack najletig
tack najletog
taciturn silentemag
tacit neesprimita
table tablog
tabernacle sanktejo
system sistemog
syrup siropog
syringe enŝprucigig
syphilis sifilisog
synthesis sintezog
syntax sintaksog
synopsis resumo
synonymous sinonima
synonym sinonimo
synod sinodog
syndicate sindikatog
syncope svenog
synagogue sinagogog
symptom simptomog
symphony simfoniog
sympathy simpatiog
sympathise simpatiig
sympathetic simpatiag
symmetry simetriog
symbol simbolog
syllogism silogismog
syllable silabog
sword glavog
swoon svenig
swivel turnkrucog
switch vergog
swing balancig
swine porkog
swindler ŝtelistog
swindle ŝtelig
swimming naĝartog
swim naĝig
swill glutegi
swiftness rapidecog
swift rapidag
swerve malrektiĝig
swelling ŝvelog
swell ŝvelig
sweetmeat sukeraĵog
sweet malacidag
sweepings balaaĵog
sweep balaig
swear blasfemig
swathe envolvi
swarthy nigravizaĝa
sward herbejog
swan cignog
swamp marĉejog
swallow glutig
swagger fanfaronig
swaddle vindig
sustenance nutraĵog
sustain subtenig
suspicious suspektemag
suspicion suspektog
suspend pendigig
suspect suspektig
susceptibility sentemog
susceptible sentebla—emag
survive postvivig
surveyor termezuristog
survey vidadi
surreptitious kaŝag
surrender kapitulacig
surprise surprizig
surpass superig
surname alnomog
surmount venkig
surmise konjektig
surly malgajag
surgery ĥirurgiog
surgeon ĥirurgiistog
surge ondegog
surfeit supersatig
surface supraĵog
surf ŝaŭmo
surety garantiaĵog
surely certe
sure certag
surcharge supertaksog
supreme superega
supremacy superegecog
suppress subpremig
suppose supozi
supporter partianog
support subtenig
supply provizig
supplicate petegig
supplementary aldonag
supplement aldonig
supplement aldonog
supple flekseblag
supplant anstataŭi
supper noktomanĝog
supervise observig
superstitious superstiĉag
superstition superstiĉog
supersede anstataŭig
superscription surskribog
supernumerary ekstrulog
supernatural supernaturag
superiority superecog
superior superag
superhuman superhomag
superfluous superfluag
superfluity superfluog
superficies supraĵog
superficial supraĵag
superb belegag
sup noktomanĝig
sunstroke sunfrapog
sunshade sunombrelog
sunflower sunflorog
sundry diversag
sunday dimanĉog
sunbeam sunradiog
sun sunog
sumptuous luksag
summons citatog
summon asigni
summit suprog
summerhouse laŭbog
summer somerog
summary mallongag
summary resumog
summarise resumig
sum sumig
sum sumog
sultry varmegag
sultan sultanog
sulphur sulfurog
sully malpurigig
sullen malgajag
sulk koleretig
suitor plendulog
suite sekvantarog
suitable konvena
suit konvenig
suicide memmortigog
suggest proponi
sugar sukerog
suffocate sufokig
suffix sufiksog
sufficient sufiĉag
sufficiency sufiĉecog
suffice sufiĉig
suffering suferog
suet grasog
sue procesig
sudden subitag
suction suĉadog
suckle mamnutrig
sucking-pig porkidog
suck suĉig
succumb subfalig
succulent bongustag
succour helpig
succinct mallongag
successor posteulog
successive intersekvag
successful sukcesag
success sukcesog
succeed sukcesig
subversive detruantag
suburbs ĉirkaŭurbog
subtraction elprenog
subtract elprenig
subtle ruzag
subtile maldikag
subterraneous subterag
subterranean subterag
subterfuge artifikog
substitute anstataŭig
substantive substantivog
substantiate pruvig
substantial fortikag
substance substancog
subside mallevig
subsequent sekvag
subscription abonog
subscription monoferadog
subpoena asignog
suborn subaĉetig
subordinate subag
subordinate subulog
submit submetiĝig
submissive humilag
submission submetiĝog
submerge subakvig
submarine submarag
sublime altega
subjugate submetig
subjection regateco
subject submeti
subject objektog
subject regato
subdue submeti
subdivide redividig
subcutaneous subhaŭtag
subaltern subulog
stylish stilag
style stilog
stutter balbutig
sturgeon sturgo
sturdy hardag
stupor letargiog
stupidity malspritecog
stupid malspritag
stupendous miregindag
stupefaction miregog
stupefy malspritigig
stun duonesvenigig
stump trunkrestaĵog
stumble faletig
stuff plenigig
study lerni
studious lernemag
studio studĉambrog
student studentog
stud butonog
stucco stukaĵog
stubbornness obstinegecog
stubborn obstinegag
strychnine strikninog
strut paradig
struggle baraktig
structure strukturog
strophe strofog
stronghold fortikaĵog
strong fortag
stroll promenig
strive penadig
strip striog
stringent severag
string ŝnuretog
striking surpriza
strike frapig
strife malpaco
stride paŝegig
strict severag
strew disĵetig
stretcher portilog
stretch streĉig
stress forto
strenuous energiag
strengthen plifortigig
strength fortecog
street stratog
stream riveretog
streak strekog
stray erariĝig
strawberry fragog
straw pajlog
stratum tavolog
stratify tavolig
strategy militartog
stratagem ruzog
strap rimenog
strangle sufokig
strangeness strangecog
stranger fremdulo
strange strangag
strand marbordog
straiten mallarĝigig
strainer kribrilog
strain streĉig
straightway tujeg
straightforwardness sincerecog
straight rektag
strabism strabecog
